state_id,state_name,population_total,population_18_plus
AL,Alabama,4903185,3814879
AK,Alaska,731545,551562
AZ,Arizona,7278717,5638481
AR,Arkansas,3017804,2317649
CA,California,39512223,30617582
CO,Colorado,5758736,4499217
CT,Connecticut,3565287,2837847
DC,Delaware,973764,770192
DE,District of Columbia,705749,577581
FL,Florida,21477737,17247808
GA,Georgia,10617423,8113542
HI,Hawaii,1415872,1116004
ID,Idaho,1787065,1338864
IL,Illinois,12671821,9853946
IN,Indiana,6732219,5164245
IA,Iowa,3155070,2428229
KS,Kansas,2913314,2213064
KY,Kentucky,4467673,3464802
LA,Louisiana,4648794,3561164
ME,Maine,1344212,1095370
MD,Maryland,6045680,4710993
MA,Massachusetts,6892503,5539703
MI,Michigan,9986857,7842924
MN,Minnesota,5639632,4336475
MS,Mississippi,2976149,2277566
MO,Missouri,6137428,4766843
MT,Montana,1068778,840190
NE,Nebraska,1934408,1458334
NV,Nevada,3080156,2387517
NH,New Hampshire,1359711,1104458
NJ,New Jersey,8882190,6943612
NM,New Mexico,2096829,1620991
NY,New York,19453561,15425262
NC,North Carolina,10488084,8187369
ND,North Dakota,762062,581891
OH,Ohio,11689100,9111081
OK,Oklahoma,3956971,3004733
OR,Oregon,4217737,3351175
PA,Pennsylvania,12801989,10167376
RI,Rhode Island,1059361,854866
SC,South Carolina,5148714,4037531
SD,South Dakota,884659,667558
TN,Tennessee,6829174,5319123
TX,Texas,28995881,21596071
UT,Utah,3205958,2274774
VT,Vermont,623989,509984
VA,Virginia,8535519,6674671
WA,Washington,7614893,5951832
WV,West Virginia,1792147,1432580
WI,Wisconsin,5822434,4555837
WY,Wyoming,578759,445025